Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,645.05,1,645.05,645.05,645.05,0
host,acl,aclrtCreateStream,1418.7,1,1418.7,1418.7,1418.7,0
host,acl,aclrtDestroyStream,882.14,1,882.14,882.14,882.14,0
host,acl,aclrtFree,9.25,3,3.083,1.56,5.84,3.814
host,acl,aclrtGetDeviceInfo,36.04,16,2.253,1.34,10.17,4.524
host,acl,aclrtLaunchKernelWithHostArgs,433.13,15,28.875,5.04,358.48,7759.985
host,acl,aclrtMalloc,86.99,4,21.748,1.75,71.72,847.692
host,acl,aclrtMemcpy,364.57,24,15.19,11.7,37.61,32.135
host,acl,aclrtMemcpyAsync,44.14,15,2.943,2.39,8.45,2.201
host,acl,aclrtMemsetAsync,175.32,15,11.688,8.08,37.73,61.445
host,acl,aclrtResetDevice,465946.8,1,465946.8,465946.8,465946.8,0
host,acl,aclrtSynchronizeStream,795.34,16,49.709,1.4,87.19,328.316
host,node,launch,1486.04,15,99.069,22.73,1159.61,80339.57
