coreid,task_cycles
0,123207
1,121206
2,131393
3,122816
4,128367
5,123367
6,119987
7,120266
10,118295
11,130318
12,127089
13,129592
16,128429
17,132160
18,127047
19,133725
20,125983
21,129590
22,124589
23,127021
