Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,623.65,1,623.65,623.65,623.65,0
host,acl,aclrtCreateStream,1454.81,1,1454.81,1454.81,1454.81,0
host,acl,aclrtDestroyStream,927.88,1,927.88,927.88,927.88,0
host,acl,aclrtFree,9.32,3,3.107,1.6,5.93,3.992
host,acl,aclrtGetDeviceInfo,36.64,16,2.29,1.36,7.18,2.547
host,acl,aclrtLaunchKernelWithHostArgs,402.33,15,26.822,4.62,329.72,6553.442
host,acl,aclrtMalloc,108.66,4,27.165,1.78,85.25,1175.423
host,acl,aclrtMemcpy,369.96,24,15.415,11.86,37.97,34.432
host,acl,aclrtMemcpyAsync,44.84,15,2.989,2.26,8.79,2.444
host,acl,aclrtMemsetAsync,166.92,15,11.128,7.71,27.17,33.722
host,acl,aclrtResetDevice,467754.58,1,467754.58,467754.58,467754.58,0
host,acl,aclrtSynchronizeStream,817.66,16,51.104,1.3,81.93,359.986
host,node,launch,1442.3,15,96.153,22.74,1113.22,73888.495
