Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,891.45,1,891.45,891.45,891.45,0
host,acl,aclrtCreateStream,825.63,1,825.63,825.63,825.63,0
host,acl,aclrtDestroyStream,806.46,1,806.46,806.46,806.46,0
host,acl,aclrtFree,9.93,3,3.31,1.8,6.13,3.983
host,acl,aclrtGetDeviceInfo,10.35,2,5.175,3.6,6.75,2.481
host,acl,aclrtLaunchKernelWithHostArgs,321.67,1,321.67,321.67,321.67,0
host,acl,aclrtMalloc,93.38,4,23.345,2,81.16,1120.008
host,acl,aclrtMemcpy,158.8,6,26.467,14.38,40.67,100.605
host,acl,aclrtMemcpyAsync,8.52,1,8.52,8.52,8.52,0
host,acl,aclrtMemsetAsync,24.58,1,24.58,24.58,24.58,0
host,acl,aclrtResetDevice,482570.93,1,482570.93,482570.93,482570.93,0
host,acl,aclrtSynchronizeStream,17.04,2,8.52,1.72,15.32,46.24
host,node,launch,1376.65,1,1376.65,1376.65,1376.65,0
