Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,651.89,1,651.89,651.89,651.89,0
host,acl,aclrtCreateStream,1955.01,1,1955.01,1955.01,1955.01,0
host,acl,aclrtDestroyStream,879.29,1,879.29,879.29,879.29,0
host,acl,aclrtFree,9.93,3,3.31,1.62,6.28,4.438
host,acl,aclrtGetDeviceInfo,33.22,16,2.076,1.34,6.09,1.546
host,acl,aclrtLaunchKernelWithHostArgs,382.79,15,25.519,4.69,308.42,5716.73
host,acl,aclrtMalloc,96.55,4,24.138,1.7,81.07,1097.029
host,acl,aclrtMemcpy,365.79,24,15.241,11.6,39.86,36.922
host,acl,aclrtMemcpyAsync,43.56,15,2.904,2.29,8.31,2.134
host,acl,aclrtMemsetAsync,178.78,15,11.919,8.03,38.26,66.24
host,acl,aclrtResetDevice,470504.91,1,470504.91,470504.91,470504.91,0
host,acl,aclrtSynchronizeStream,833.88,16,52.118,1.27,78.3,314.573
host,node,launch,1417.92,15,94.528,21.49,1108.11,73382.837
