coreid,task_cycles
0,158393
1,152886
2,163675
3,158276
4,163696
5,157819
6,156270
7,153552
10,156925
11,163391
12,160757
13,162157
16,164925
17,167412
18,160445
19,166695
20,165473
21,163807
22,160814
23,164505
