Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,665.88,1,665.88,665.88,665.88,0
host,acl,aclrtCreateStream,1550.04,1,1550.04,1550.04,1550.04,0
host,acl,aclrtDestroyStream,811.06,1,811.06,811.06,811.06,0
host,acl,aclrtFree,10.16,3,3.387,1.6,6.66,5.372
host,acl,aclrtGetDeviceInfo,34.22,16,2.139,1.34,6.86,2.055
host,acl,aclrtLaunchKernelWithHostArgs,375.43,15,25.029,5.07,300.64,5425.933
host,acl,aclrtMalloc,94.91,4,23.728,1.69,77.85,998.451
host,acl,aclrtMemcpy,366.05,24,15.252,11.84,35.75,30.588
host,acl,aclrtMemcpyAsync,43.17,15,2.878,2.32,8.29,2.111
host,acl,aclrtMemsetAsync,156.68,15,10.445,8.04,23.91,23.235
host,acl,aclrtResetDevice,459125.86,1,459125.86,459125.86,459125.86,0
host,acl,aclrtSynchronizeStream,840.22,16,52.514,1.13,63.28,280.123
host,node,launch,1427.23,15,95.149,21.4,1116.92,74573.701
