Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,652.92,1,652.92,652.92,652.92,0
host,acl,aclrtCreateStream,1457.44,1,1457.44,1457.44,1457.44,0
host,acl,aclrtDestroyStream,860.88,1,860.88,860.88,860.88,0
host,acl,aclrtFree,9.5,3,3.167,1.76,5.9,3.737
host,acl,aclrtGetDeviceInfo,34.04,16,2.128,1.42,6.05,1.527
host,acl,aclrtLaunchKernelWithHostArgs,416.27,15,27.751,4.67,344.76,7178.259
host,acl,aclrtMalloc,111.61,4,27.903,1.69,70.54,813.811
host,acl,aclrtMemcpy,363.5,24,15.146,11.81,34.4,28.012
host,acl,aclrtMemcpyAsync,43.63,15,2.909,2.33,8.32,2.126
host,acl,aclrtMemsetAsync,169.22,15,11.281,7.66,26.7,36.15
host,acl,aclrtResetDevice,463162.18,1,463162.18,463162.18,463162.18,0
host,acl,aclrtSynchronizeStream,700.15,16,43.759,1.12,70.99,225.003
host,node,launch,1519.81,15,101.321,25.27,1156.09,79467.632
