coreid,task_cycles
0,92334
1,94423
2,96939
3,96865
4,96516
5,96080
6,84101
7,95639
10,95582
11,94225
12,92372
13,95007
16,96677
17,100209
18,88600
19,94695
20,88349
21,87390
22,99482
23,94483
