Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64ELb1EEEvPhS1_S1_S1_S1_mS1_jN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,1,34.16,34.16,34.16,34.16,88.82
0,_ZN4bmms23FinalizeAutoFusedSplitNILj64EEEvPhS1_NS_5ShapeEjj,AI_VECTOR_CORE,1,4.3,4.3,4.3,4.3,11.18
