Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,615.16,1,615.16,615.16,615.16,0
host,acl,aclrtCreateStream,1587.58,1,1587.58,1587.58,1587.58,0
host,acl,aclrtDestroyStream,792.04,1,792.04,792.04,792.04,0
host,acl,aclrtFree,11.34,3,3.78,1.72,7.55,7.127
host,acl,aclrtGetDeviceInfo,37.11,16,2.319,1.37,6.7,2.345
host,acl,aclrtLaunchKernelWithHostArgs,403.85,15,26.923,5.07,329.3,6530.975
host,acl,aclrtMalloc,101.9,4,25.475,1.72,83.35,1144.874
host,acl,aclrtMemcpy,421.07,24,17.545,11.85,40.26,81.103
host,acl,aclrtMemcpyAsync,45.3,15,3.02,2.36,9.28,2.842
host,acl,aclrtMemsetAsync,156.26,15,10.417,8.1,26,19.611
host,acl,aclrtResetDevice,466852.21,1,466852.21,466852.21,466852.21,0
host,acl,aclrtSynchronizeStream,1487.8,16,92.987,1.45,114.6,927.767
host,node,launch,1409.98,15,93.999,21.34,1098.51,72075.931
